id,original_title,overview,popularity,title,vote_average,title_sentiment,overview_sentiment,title_length,num_words_in_title,average_title_word_length,has_made_up_word,made_up_word_count
446807,The Girl in the Spider's Web,"After being enlisted to recover a dangerous computer program, hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.",25.289,The Girl in the Spider's Web,6.14,0.0,-0.4767,28.0,6.0,3.8333333333333335,False,0.0
238615,Self/less,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,29.444,Self/less,6.411,0.0,-0.8913,9.0,1.0,9.0,False,0.0
333596,Woodlawn,Love and unity in a school torn by racism and hate in the 1970s. A gifted high school football player must learn to embrace his talent and his faith as he battles racial tensions on and off the field.,28.28,Woodlawn,6.932,0.0,-0.4588,8.0,1.0,8.0,True,1.0
115,The Big Lebowski,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",32.272,The Big Lebowski,7.843,0.0,-0.5423,16.0,3.0,4.666666666666667,True,1.0
207933,Stonehearst Asylum,"An Oxford Medical School graduate takes a position at a mental institution and soon becomes obsessed with a female mental patient, but he has no idea of a recent and horrifying staffing change.",31.884,Stonehearst Asylum,6.841,0.0,-0.8481,18.0,2.0,8.5,True,1.0
504,Monster,"An emotionally scarred highway drifter shoots a sadistic trick who rapes her, and ultimately becomes America's first female serial killer.",25.017,Monster,7.2,0.0,-0.875,7.0,1.0,7.0,False,0.0
9994,The Great Mouse Detective,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",32.266,The Great Mouse Detective,7.1,0.6249,0.5859,25.0,4.0,5.5,False,0.0
10150,The Last Unicorn,"From a riddle-speaking butterfly, a unicorn learns that she is supposedly the last of her kind, all the others having been herded away by the Red Bull. The unicorn sets out to discover the truth behind the butterfly's words. She is eventually joined on her quest by Schmendrick, a second-rate magician, and Molly Grue, a now middle-aged woman who dreamed all her life of seeing a unicorn. Their journey leads them far from home, all the way to the castle of King Haggard.",21.766,The Last Unicorn,7.1,0.0,0.6908,16.0,3.0,4.666666666666667,False,0.0
356305,Why Him?,A dad forms a bitter rivalry with his daughter's young rich boyfriend.,27.771,Why Him?,6.37,0.0,0.2023,8.0,2.0,3.5,False,0.0
52451,The Three Musketeers,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,31.017,The Three Musketeers,5.8,0.0,-0.6124,20.0,3.0,6.0,False,0.0
707,A View to a Kill,A newly-developed microchip designed by Zorin Industries for the British Government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the KGB. James Bond must find out how and why. His suspicions soon lead him to big industry leader Max Zorin who forms a plan to destroy his only competition in Silicon Valley by triggering a massive earthquake in the San Francisco Bay.,36.763,A View to a Kill,6.227,-0.6908,-0.7184,16.0,5.0,2.4,False,0.0
36643,The World Is Not Enough,"Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to protect a beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance.",38.013,The World Is Not Enough,6.265,0.0,-0.9231,23.0,5.0,3.8,False,0.0
156717,Death Race: Inferno,"Carl Lucas / Frankenstein has won four of his races and needs to win one more to win his freedom. Before his final race, Lucas and his team, car and all, are transferred to another prison where they will compete in a Death Race in the desert. Also, at the same time, Ceaser runs into a marketer who wants to franchise the Death Race program.",35.076,Death Race: Inferno,5.785,-0.5994,0.6597,19.0,3.0,5.666666666666667,False,0.0
10865,Atlantis: The Lost Empire,"The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea. The underwater expedition takes an unexpected turn when the team's mission must switch from exploring Atlantis to protecting it.",35.073,Atlantis: The Lost Empire,7.0,-0.3182,0.0,25.0,4.0,5.5,False,0.0
26466,Triangle,"When Jess sets sail on a yacht with a group of friends, she cannot shake the feeling that there is something wrong.",35.032,Triangle,6.925,0.0,0.0382,8.0,1.0,8.0,False,0.0
45610,Machine Gun Preacher,"The true story of Sam Childers, a former drug-dealing biker who finds God and became a crusader for hundreds of Sudanese children who've been kidnapped and pressed into duty as soldiers.",35.027,Machine Gun Preacher,6.729,-0.34,0.5994,20.0,3.0,6.0,False,0.0
537996,The Ballad of Buster Scruggs,"Vignettes weaving together the stories of six individuals in the old West at the end of the Civil War. Following the tales of a sharp-shooting songster, a wannabe bank robber, two weary traveling performers, a lone gold prospector, a woman traveling the West to an uncertain future, and a motley crew of strangers undertaking a carriage ride.",35.022,The Ballad of Buster Scruggs,7.143,0.0,-0.9169,28.0,5.0,4.8,True,1.0
775996,Outside the Wire,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",34.994,Outside the Wire,6.38,0.0,-0.5859,16.0,3.0,4.666666666666667,False,0.0
557946,Last Looks,"A disgraced ex-cop seeks solace by moving to the woods, but his quiet life comes to an end when a private eye recruits him to investigate the murder of an eccentric TV star's wife.",34.992,Last Looks,5.896,0.0,-0.8608,10.0,2.0,4.5,False,0.0
301337,Downsizing,A kindly occupational therapist undergoes a new procedure to be shrunken to four inches tall so that he and his wife can help save the planet and afford a nice lifestyle at the same time.,34.983,Downsizing,5.339,0.0,0.8979,10.0,1.0,10.0,False,0.0
6145,Fracture,"A husband is on trial for the attempted murder of his wife, in what is seemingly an open/shut case for the ambitious district attorney trying to put him away. However, there are surprises for both around every corner, and, as a suspenseful game of cat-and-mouse is played out, each must manipulate and outwit the other.",34.946,Fracture,7.283,0.0,0.1779,8.0,1.0,8.0,False,0.0
71668,Piranha 3DD,"After the events at Lake Victoria, the prehistoric school of blood-thirsty piranhas make their way into swimming pools, plumbing, and a newly opened water park.",34.939,Piranha 3DD,4.347,0.0,0.0,11.0,2.0,5.0,False,0.0
503919,The Lighthouse,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,34.938,The Lighthouse,7.515,0.0,0.0,14.0,2.0,6.5,False,0.0
1443,The Virgin Suicides,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents.",34.923,The Virgin Suicides,7.107,0.0,0.34,19.0,3.0,5.666666666666667,False,0.0
44115,127 Hours,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,34.911,127 Hours,7.079,0.0,0.7964,9.0,2.0,4.0,False,0.0
2300,Space Jam,"Jokes fly as the Tune Squad takes on the Nerdlucks in a hardcourt game to decide if the Looney Tunes remain here... or become attractions at a far-off galactic off-ramp called Moron Mountain. The Nerdlucks have a monstrous secret weapon: they've stolen the skills of top NBA stars like Charles Barkley and Patrick Ewing and become Monstars. But that's not all, folks. The Tune Squad’s secret weapon just happens to be the finest player in this or any other universe. He's outta this world. So's the fun.",34.91,Space Jam,6.829,0.0,0.34,9.0,2.0,4.0,False,0.0
1498,Teenage Mutant Ninja Turtles,"A quartet of humanoid turtles, trained by their mentor in ninjitsu, must learn to work together to face the menace of Shredder and the Foot Clan.",34.903,Teenage Mutant Ninja Turtles,6.642,0.0,-0.4939,28.0,4.0,6.25,False,0.0
37834,Knight and Day,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",34.902,Knight and Day,6.207,0.0,0.8586,14.0,3.0,4.0,False,0.0
34134,Barbie in A Mermaid Tale,"Barbie stars as Merliah, a surfer who learns a shocking secret: she's a mermaid! She and her dolphin friend set out for an undersea adventure to rescue her mother, the queen of Oceana.",34.893,Barbie in A Mermaid Tale,7.2,0.0,0.75,24.0,5.0,4.0,True,1.0
1033219,Attack on Titan,"As viable water is depleted on Earth, a mission is sent to Saturn's moon Titan to retrieve sustainable H2O reserves from its alien inhabitants. But just as the humans acquire the precious resource, they are attacked by Titan rebels, who don't trust that the Earthlings will leave in peace.",34.879,Attack on Titan,6.0,-0.4767,0.1894,15.0,3.0,4.333333333333333,False,0.0
132232,Mama,"Guillermo del Toro presents Mama, a supernatural thriller that tells the haunting tale of two little girls who disappeared into the woods the day that their parents were killed. When they are rescued years later and begin a new life, they find that someone or something still wants to come tuck them in at night.",36.984,Mama,6.261,0.0,-0.617,4.0,1.0,4.0,False,0.0
919355,Dragon Knight,"Many years after the war has been lost, and all the dragons slain, a lone knight travels the lands of Agonos seeking to raise an army against the demon lord Abaddon. When a healer's vision reveals that one dragon still lives, and together with an eager young squire, the knight sets off in search of the fabled creature. As the armies of Abaddon descend on the human kingdoms, the dragon is their last hope of fending off the horde, before it lays waste to the lands of men. But does the creature even exist? And if it does, will it fight for them once more?",31.696,Dragon Knight,6.2,0.0,-0.7278,13.0,2.0,6.0,False,0.0
38321,Priest,"In an alternate world, humanity and vampires have warred for centuries. After the last Vampire War, the veteran Warrior Priest lives in obscurity with other humans inside one of the Church's walled cities. When the Priest's niece is kidnapped by vampires, the Priest breaks his vows to hunt them down. He is accompanied by the niece's boyfriend, who is a wasteland sheriff, and a former Warrior Priestess.",28.481,Priest,5.779,0.0,-0.8074,6.0,1.0,6.0,False,0.0
